Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Rating
"7th Brigade Park, Chermside",Delaware St,Chermside,-27.37893,153.04461,0
Annerley Library Wifi,450 Ipswich Road,Annerley,-27.50942285,153.0333218,0
Ashgrove Library Wifi,87 Amarina Avenue,Ashgrove,-27.44394629,152.9870981,0
Banyo Library Wifi,284 St. Vincents Road,Banyo,-27.37396641,153.0783234,0
Booker Place Park,Birkin Rd & Sugarwood St,Bellbowrie,-27.56353,152.89372,0
Bracken Ridge Library Wifi,Corner Bracken and Barrett Street,Bracken Ridge,-27.31797261,153.0378735,0
Brisbane Botanic Gardens,Mt Coot-tha Rd,Toowong,-27.47724,152.97599,0
Brisbane Square Library Wifi,"Brisbane Square, 266 George Street",Brisbane,-27.47091173,153.0224598,0
Bulimba Library Wifi,Corner Riding Road & Oxford Street,Bulimba,-27.45203086,153.0628242,0
Calamvale District Park,Formby & Ormskirk Sts,Calamvale,-27.62152,153.03665,0
Carina Library Wifi,Corner Mayfield Road & Nyrang Street,Carina,-27.49169314,153.0912127,0
Carindale Library Wifi,"The Home and Leisure Centre, Corner Carindale Street  & Banchory Court, Westfield Carindale Shopping Centre",Carindale,-27.50475928,153.1003965,0
Carindale Recreation Reserve,Cadogan and Bedivere Sts,Carindale,-27.497,153.11105,0
Chermside Library Wifi,375 Hamilton  Road,Chermside,-27.3856032,153.0349028,0
City Botanic Gardens Wifi,Alice Street,Brisbane City,-27.47561,153.03005,0
Coopers Plains Library Wifi,107 Orange Grove Road,Coopers Plains,-27.56510509,153.0403183,0
Corinda Library Wifi,641 Oxley Road,Corinda,-27.53880237,152.9809091,0
D.M. Henderson Park,Granadilla St,MacGregor,-27.57745,153.07603,0
Einbunpin Lagoon,Brighton Rd,Sandgate,-27.31947,153.06822,0
Everton Park Library Wifi,561 South Pine Road,Everton park,-27.4053336,152.9904205,0
Fairfield Library Wifi,"Fairfield Gardens Shopping Centre, 180 Fairfield Road",Fairfield,-27.50909038,153.0259709,0
Forest Lake Parklands,Forest Lake Bld,Forest Lake,-27.6202,152.96625,0
Garden City Library Wifi,"Garden City Shopping Centre, Corner Logan and Kessels Road",Upper Mount Gravatt,-27.56244221,153.0809183,0
Glindemann Park,Logan Rd,Holland Park West,-27.52552,153.06923,0
Grange Library Wifi,79 Evelyn Street,Grange,-27.42531193,153.0174728,0
Gregory Park,Baroona Rd,Paddington,-27.467,152.99981,0
Guyatt Park,Sir Fred Schonell Dve,St Lucia,-27.49297,153.00187,0
Hamilton Library Wifi,Corner Racecourt Road and Rossiter Parade,Hamilton,-27.43790137,153.0642227,0
Hidden World Park,Roghan Rd,Fitzgibbon,-27.33971701,153.034981,0
Holland Park Library Wifi,81 Seville Road,Holland Park,-27.52292286,153.0722921,0
Inala Library Wifi,"Inala Shopping centre, Corsair Ave",Inala,-27.59828574,152.9735217,0
Indooroopilly Library Wifi,"Indrooroopilly Shopping centre, Level 4, 322 Moggill Road",Indooroopilly,-27.49764287,152.9736471,0
Kalinga Park,Kalinga St,Clayfield,-27.40666,153.05217,0
Kenmore Library Wifi,"Kenmore Village Shopping Centre, Brookfield Road",Kenmore,-27.50592852,152.9386437,0
King Edward Park (Jacob's Ladder),Turbot St and Wickham Tce,Brisbane,-27.46589,153.02406,0
King George Square,Ann & Adelaide Sts,Brisbane,-27.46843,153.02422,0
Mitchelton Library Wifi,37 Helipolis Parada,Mitchelton,-27.41704165,152.9783402,0
Mt Coot-tha Botanic Gardens Library Wifi,"Administration Building, Brisbane Botanic Gardens (Mt Coot-tha), Mt Coot-tha Road",Toowong,-27.47529908,152.9760412,0
Mt Gravatt Library Wifi,8 Creek Road,Mt Gravatt,-27.53855482,153.0802628,0
Mt Ommaney Library Wifi,"Mt Ommaney Shopping Centre, 171 Dandenong Road",Mt Ommaney,-27.54824198,152.9378099,0
New Farm Library Wifi,135 Sydney Street,New Farm,-27.46736574,153.0495841,0
New Farm Park Wifi,Brunswick Street,New Farm,-27.47046,153.05223,0
Nundah Library Wifi,1 Bage Street,Nundah,-27.40125908,153.0583751,0
Oriel Park,Cnr of Alexandra & Lancaster Rds,Ascot,-27.42928,153.05768,0
Orleigh Park,Hill End Tce,West End,-27.48995,153.00326,0
Post Office Square,Queen & Adelaide Sts,Brisbane,-27.46735,153.02735,0
Rocks Riverside Park,Counihan Rd,Seventeen Mile Rocks,-27.54153,152.95913,0
Sandgate Library Wifi,Seymour Street,Sandgate,-27.32060523,153.0704927,0
Stones Corner Library Wifi,280 Logan Road,Stones Corner,-27.49803575,153.043655,0
Sunnybank Hills Library Wifi,"Sunnybank Hills Shopping Centre, Corner Compton and Calam Roads",Sunnybank Hills,-27.6109253,153.0550706,0
Teralba Park,Pullen & Osborne Rds,Everton Park,-27.40286,152.98059,0
Toowong Library Wifi,"Toowon Village Shopping Centre, Sherwood Road",Toowong,-27.48505116,152.9925091,0
West End Library Wifi,178 - 180 Boundary Street,West End,-27.48245078,153.0120763,0
Wynnum Library Wifi,"Wynnum Civic Centre, 66 Bay Terrace",Wynnum,-27.44244894,153.1731968,0
Zillmere Library Wifi,Corner Jennings Street and Zillmere Road,Zillmere,-27.36014232,153.0407898,0
